F1,F2,F3,F4,F5
391,2172,2617,3805,4086
391,2000,2641,3719,4430
383,2000,2680,3750,4867
352,2703,3875,4391,4805
367,1719,2734,3875,4813
336,1711,2773,3922,4234
0,391,1656,2914,4008
391,1664,2734,3055,4109
453,1664,2695,3195,4109
320,492,1656,2695,3219
508,1563,2727,3234,4156
516,1563,2500,3305,4063
523,1563,2500,3273,4055
531,1578,2570,3297,4063
523,1578,2773,3297,4063
523,1555,2742,3273,4023
508,1539,2102,3250,4000
398,1516,2156,3250,3945
516,1477,2109,2977,3766
492,1531,2156,2977,3906
508,1383,2023,2867,3734
570,1383,2133,2922,3789
617,1406,2117,2805,3867
805,1555,2086,2797,3867
563,1383,1977,2852,3930
563,1398,2078,2813,3781
422,1422,2789,3969,4383
516,1539,2813,4102,4719
516,1586,2891,3867,4555
500,1609,2930,3875,4492
484,1672,3055,3906,4547
477,1641,1930,2680,3906
234,734,1617,1930,2633
461,1648,2023,2664,3859
555,1570,2031,2594,3922
516,1570,2055,2453,4109
508,1719,2094,4109,4258
461,1523,2008,2766,4328
383,1563,2820,3906,4516
438,2234,3094,3984,4695
414,1250,1836,3125,4844
680,1477,2078,2609,3859
695,1898,2586,3148,3859
523,1789,3031,3906,4617
578,1602,3039,3969,4266
641,1695,3000,3883,4414
633,1695,3070,4125,4445
617,1633,2852,3047,4391
625,1672,3141,4063,4391
625,1664,2922,4039,4438
633,1688,3047,4133,4344
625,1672,3125,3984,4375
625,1672,2750,3133,4438
617,1672,2914,3039,4117
523,1695,2711,4133,4477
430,1672,2703,4125,4367
484,2828,3102,4313,4922
609,2781,3094,4273,4930
758,1672,2703,3055,4234
617,1656,2672,3141,4133
547,1664,2727,4141,4695
719,1617,2711,3125,4195
555,1508,2617,3727,4563
641,1375,2617,3727,4578
578,1398,2773,4023,4664
398,1500,2453,3828,4766
438,1438,1992,2703,3906
555,1406,2023,2797,3969
586,1352,2023,2805,3883
766,1414,2086,2750,3922
758,1500,2820,4039,4492
781,1477,2859,3906,4531
789,1516,2813,3922,4398
766,1516,2836,4016,4594
766,1555,2836,4023,4578
766,1617,2844,4039,4523
773,1656,2789,3938,4594
758,1656,2047,2734,3930
742,1703,1977,2750,3922
742,1680,2063,2680,3898
844,1680,2078,2648,3906
734,2094,2680,3141,3930
594,2078,2789,3977,4438
563,2133,3000,4086,4398
430,1789,2070,2727,4391
445,1953,2828,3586,4375
445,1883,2883,3508,4383
453,1672,2039,2813,4344
422,1641,1992,2773,3727
563,1797,2688,3727,4344
586,1758,2648,4055,4516
461,1742,2711,4352,4602
406,1641,2516,3875,4766
258,1672,2570,3875,4234
438,1633,2781,3039,3906
328,1523,2727,3000,3883
383,1797,3000,3781,4375
492,1578,3055,3820,4523
391,1547,2578,3070,4398
484,1484,2688,3688,4406
516,1406,3086,3688,4945
531,1438,3039,3953,4828
617,1453,2797,3883,4547
625,1430,2781,3898,4484
648,1430,2891,3945,4438
625,1430,2867,3953,4344
594,1445,2836,3859,4242
594,1477,2836,3859,4297
570,1391,2836,3859,4422
570,1492,2836,3781,4414
563,1500,2906,3930,4305
500,1492,1883,2914,3906
234,1383,2016,2688,4063
234,492,1383,2883,4023
523,1453,2836,3984,4383
523,1547,1992,2711,4039
516,2109,2711,4000,4586
633,1594,1930,2695,4219
609,1602,2570,4023,4367
313,1578,2781,4211,4672
422,1531,2813,4211,4711
438,1633,2758,4102,4719
383,1648,2695,3875,4711
250,1633,2664,3758,4727
547,1641,2711,3859,4555
672,1898,2672,3789,4555
430,1625,2031,2688,3789
484,1531,2648,3898,4766
508,1477,2563,3852,4578
445,1469,2031,2656,3828
570,2117,2641,3844,4641
617,1422,2078,2641,3891
555,1547,2055,2711,4445
484,2273,2750,4391,4727
531,2773,3641,4297,4805
547,1555,2281,2836,4273
547,2250,2703,3641,4305
539,1609,2719,3836,4258
523,1055,2563,2836,4500
531,1039,1375,2797,4500
531,1016,2016,2734,4352
523,1039,1500,2195,2703
508,1078,1500,2758,4469
516,1070,2781,4023,4523
508,1086,2703,3805,4375
492,1141,2711,3805,4359
484,1125,2680,3734,4297
422,1578,2234,2633,3938
383,1656,2289,2633,3969
398,1469,2000,2594,4016
438,1469,2086,2680,3961
391,1469,2148,2641,3922
367,2102,2633,3883,4344
336,2148,2625,3742,4359
313,2141,2578,3742,4156
383,2070,2609,3742,4156
398,1453,2406,2555,3859
375,1453,2188,2844,3836
664,1523,2188,2648,4148
461,664,1469,2672,4359
547,1547,3070,4047,4414
313,1578,2102,3023,3836
430,2195,2789,3164,3906
297,484,2086,2492,3945
289,477,688,2141,2531
289,469,2539,3273,3898
313,469,2547,3297,3906
289,492,688,2547,3953
320,477,2492,3945,4797
289,492,2500,3906,4789
297,477,703,2531,3906
477,711,2477,3234,3867
469,664,2563,3344,3969
445,648,2523,3516,3922
430,633,2477,3594,4008
406,1648,2508,3305,3945
375,1492,2547,3305,3945
367,1492,2484,3227,3984
352,1516,2492,3164,3930
352,2477,3344,3945,4406
398,2484,3500,3945,4594
391,2531,3016,3875,4414
367,2117,3063,4047,4805
422,1914,3039,3938,4625
414,2023,2906,3898,4898
453,2039,2789,3930,4711
539,2031,2625,3922,4711
508,2031,2664,3961,4695
578,1977,2758,3852,4445
500,1508,2102,2656,3867
422,1477,2078,2719,3922
453,1484,2531,3047,3852
469,1547,2531,3117,4078
406,1703,2336,3063,4180
273,1539,2563,3297,4359
320,1906,2656,3227,4359
422,1820,2727,3898,4414
414,1766,2836,3938,4250
406,1477,2055,2883,4109
406,1477,1891,2938,4047
398,1516,1906,3094,4055
398,1938,2719,3289,4016
438,2047,2688,4039,4492
531,2008,2867,4008,4516
578,2125,2742,3156,4375
594,2055,2680,4109,4305
648,2039,2703,3141,4219
711,2016,2773,4055,4406
734,1672,1984,2703,4039
727,1703,2086,2695,4039
742,1727,2008,2805,4063
359,750,1688,1859,2781
367,750,1688,2188,2773
750,1703,2219,2813,4078
750,1703,1844,2836,4063
383,758,1672,2820,3969
406,773,1555,2875,4000
781,938,1563,2891,4047
781,961,1570,2781,2898
789,1609,2789,3133,3961
625,781,1594,2977,3922
625,1617,2648,3070,3922
578,1633,2680,3195,3836
484,1625,3148,3836,4273
563,1633,2680,3047,4211
555,1555,2055,2680,4438
469,1555,2000,2648,3820
727,1508,2039,3070,4242
570,1539,3094,3984,4313
453,1523,2555,3008,4359
625,1469,2086,2688,3867
625,1469,2086,2664,3023
609,1492,2680,3805,4664
594,2195,2688,3805,4859
539,2172,2672,3750,4867
531,1352,2711,3680,4883
500,1375,2797,3727,4742
422,1375,2742,4633,4883
414,1391,2781,3813,4867
398,1336,2703,4016,4719
414,1328,2680,3602,4531
414,1500,2750,4383,4867
414,2688,3680,4375,4914
391,2656,3867,4289,4852
406,2664,2883,4195,4836
391,1469,2719,4219,4898
398,1594,2891,3750,4930
375,1680,2102,4320,4852
336,1680,2008,2930,3953
352,1711,2805,4094,4883
391,1602,2695,3109,3945
383,1648,2828,3688,4266
375,1680,2828,3797,4328
375,1695,2781,3813,4336
367,1688,2922,3797,4852
383,1688,2703,3023,3750
375,1641,2953,3813,4750
367,1688,2961,3813,4445
367,1672,3008,3852,4930
383,1656,2945,3820,4242
367,1602,2891,3961,4922
219,1594,1953,2953,3805
195,1875,2977,3805,4375
383,1977,2688,3727,3906
406,1914,2875,3594,4359
438,828,1820,2945,3586
648,1742,2883,3594,3734
0,664,1766,2766,3594
453,1797,1984,2711,3016
430,734,1766,2930,3594
273,1789,2906,3625,4461
391,1906,2766,3719,4523
406,1766,2891,3758,4359
242,1820,2836,3023,3703
328,1953,3016,3742,4453
813,1898,2836,3805,4375
664,1883,2656,3883,4391
664,1883,2602,3063,3734
688,1930,2930,3922,4328
469,1844,2820,3820,4500
398,750,2742,3867,4555
234,750,2703,3945,4781
234,625,1984,4016,4328
625,1984,2852,3930,4469
570,1969,2672,3734,4477
352,1953,2617,2977,3750
477,2094,2797,3945,4672
453,2133,2750,3016,4055
477,2156,3039,3859,4078
453,2180,2641,3031,3797
469,2227,2641,2813,3859
523,2219,2742,3938,4906
516,2117,2727,3883,4781
523,2039,2672,3641,4617
508,2219,2711,3578,4914
414,2180,2688,3742,4945
367,1883,2672,3789,4922
391,2063,2703,3688,4938
383,2070,2719,3523,3820
438,2148,2711,3523,3672
297,586,2141,2750,3523
617,2141,2813,4023,4938
656,2141,2688,3703,4688
688,2656,3047,3820,4789
633,2758,3047,3609,4813
258,2719,3656,4039,4945
250,2531,3109,3625,4813
227,1539,2617,3156,4656
125,1391,2563,3859,4656
164,625,1344,2992,4578
836,1445,2594,3648,4711
945,1547,2414,3680,4516
969,1547,1969,4070,4750
1055,1969,2547,3438,3984
1148,1969,2477,3391,4094
781,1227,2461,3805,4656
719,1367,2375,3586,4109
914,1547,2281,3828,4438
1352,2094,2836,3859,4344
711,1602,2930,3398,4344
695,1594,2813,3547,4008
688,1516,2578,3242,3969
688,1617,2703,3875,4680
664,1906,2844,3945,4930
656,1711,2664,3578,4398
766,1992,2609,3352,3805
680,1969,2602,3250,4211
734,1836,2688,3867,4281
750,1656,2656,3305,4266
625,1656,2070,3797,4492
617,1617,2070,4039,4578
680,1617,2008,3266,3734
758,1602,2641,3148,3984
711,2055,3156,3977,4578
711,1539,1953,2633,3156
602,1539,3297,3922,4664
719,1531,1953,3820,4547
617,1531,2195,3961,4375
664,1664,2328,3609,4078
609,1461,1961,2266,3961
656,1570,2117,3664,3961
828,1508,2109,2828,4133
703,1539,2320,3602,4109
656,1523,2148,2719,3945
664,1617,2133,2148,3914
742,1586,2133,3117,4000
695,1563,2313,3117,4039
656,1516,2492,2969,3922
641,1602,2188,2938,3781
844,1570,2375,2969,3953
789,1508,2539,2859,3703
742,1742,2453,3797,4078
672,1719,2672,3875,4469
789,1547,2656,4070,4734
859,1438,2117,2539,4555
320,961,1188,2359,3789
875,2125,3102,3758,4297
398,875,1461,2930,4094
883,1273,2414,2961,4125
883,1273,2250,2961,3984
141,1031,2563,3789,4859
273,1531,2938,3563,4891
313,2320,2805,3773,4352
375,1484,2734,4242,4945
398,1492,2781,4117,4938
453,1625,2797,3844,4922
500,1656,2734,3820,4906
555,1625,2148,2734,3813
500,2117,2766,3789,4461
430,2094,2836,3664,4547
391,1867,2859,3586,4289
398,1789,2891,3578,4320
375,1813,2945,3609,4320
328,1750,2164,2867,4234
281,1539,2211,2672,3836
250,1555,2188,2609,3836
422,1570,2172,2594,3867
648,1547,2008,2711,3922
453,1617,2000,2648,3742
414,711,2070,2617,3727
555,1508,2063,2609,3820
672,1508,1898,2742,3695
680,1602,2688,3688,4375
414,1625,2172,2695,3664
445,2172,2813,3633,4141
414,1445,2172,2922,4375
422,1492,2172,2750,4148
461,1578,2258,2859,4164
430,1484,2258,2852,4141
492,1398,2367,2859,4164
477,1398,2789,4211,4930
430,1430,2789,4164,4820
406,1430,2797,4117,4898
414,1445,2820,4141,4898
414,1469,2828,4086,4930
422,1469,2836,4023,4820
414,1445,2781,4008,4938
406,1477,2844,3984,4875
461,1508,2047,2734,4031
453,1516,2633,3664,4031
367,1500,1984,2531,3867
391,1664,2430,3867,4578
367,2320,4008,4414,4797
367,2336,3984,4414,4852
477,2195,2656,4047,4523
492,2188,2656,3891,4422
602,1430,2867,3984,4430
578,1320,2953,3992,4438
500,1305,2961,3859,4391
508,1445,2672,3930,4391
336,1359,2625,3938,4430
297,516,2547,3313,3844
289,523,2500,3250,3797
313,523,2508,3797,4047
281,523,2508,3266,4039
305,523,2516,3281,4063
305,523,2508,3258,4047
289,523,2500,3250,4031
508,1453,2484,3180,3984
500,742,2164,2625,3141
492,727,1617,2141,2586
508,2227,2773,2992,4031
469,1680,2195,2820,4031
461,1727,2102,2773,4039
453,1672,2273,2844,4242
469,1656,2320,2891,4203
570,1711,2031,2953,4375
547,2039,2828,4109,4398
578,2078,3063,4094,4414
563,2070,3070,4109,4406
602,2047,2641,3047,4328
563,2055,2609,3094,4422
695,2055,2836,3984,4414
672,2117,2641,4055,4414
641,2125,2773,3141,4094
656,2094,2734,3156,4109
633,2117,2742,3086,4039
594,2156,2719,3086,4039
570,2109,2758,3938,4492
578,2125,2805,4047,4461
563,2102,2719,3984,4461
523,1719,2031,2797,3984
414,1727,2188,2789,4484
422,1648,2297,2758,4477
438,1680,2016,3016,3938
430,1680,2180,3016,4477
445,1703,2758,3867,4453
445,1664,2289,2727,3164
367,1547,2078,2773,4125
281,1555,2281,2633,3867
586,1664,2125,2617,4094
422,1711,2164,2617,4117
398,1875,2133,2664,3969
406,1453,2102,2758,3969
469,1977,2695,3125,3914
242,680,1672,2641,3914
461,1555,2023,3031,4039
430,1641,3070,4109,4492
414,1734,3148,4039,4461
453,1781,3125,4039,4391
445,1773,3086,4125,4531
406,1719,2109,2820,4430
328,1609,2664,3992,4297
422,1961,2680,3141,4297
430,1828,2719,3125,3984
438,1648,1945,3125,3930
477,1523,1984,3156,3859
508,945,1523,1984,3133
367,977,1789,2867,3883
289,2102,2852,3813,4445
133,1492,2805,3969,4336
133,1375,2297,3148,4172
859,2383,3055,3945,4852
1063,1695,2469,3844,4242
891,2328,3070,4000,4898
695,1484,2102,2594,3922
617,1602,2078,3094,4320
641,2031,2555,3820,4367
711,1969,2977,3898,4352
555,1273,1602,1969,3031
617,1188,1383,2008,2797
563,1992,2711,3156,3945
523,2125,2898,3109,3984
648,2094,2836,2922,4000
289,641,2070,2969,3969
289,1547,2063,2984,4086
500,1477,2109,3094,4102
500,2094,2531,3117,4086
492,1680,2109,2602,3992
484,2078,2813,3961,4609
344,1813,2750,4031,4563
477,1813,2859,4016,4617
477,1680,2867,4109,4719
500,1703,2844,4070,4758
484,1695,2820,4031,4758
461,1656,2836,4086,4742
359,1695,2820,4039,4695
508,2133,2828,4023,4781
500,2180,2742,3992,4805
492,2172,2688,4047,4844
484,2180,2656,4016,4859
469,2266,2734,3945,4836
477,2281,3211,3977,4867
469,2227,3297,4008,4914
453,2273,3273,4008,4930
445,2258,3375,3992,4945
383,2328,2523,3289,3969
375,2188,2500,3141,3844
430,2156,2641,3156,3844
422,2164,2625,3188,3820
469,2234,3156,3766,4891
422,2203,3156,3813,4922
453,1367,2242,3211,3867
641,1633,2227,2750,3898
633,1539,2172,2742,3914
648,1516,2164,2742,3914
648,1438,2695,2797,3852
719,1445,1977,2773,3898
734,1508,2008,2805,4016
383,758,1336,1500,2789
391,773,1367,2836,3906
609,781,1422,1992,2773
625,789,1469,2828,3945
625,1445,2063,2227,2828
664,1391,2141,2742,3977
789,1383,2102,2727,3938
695,1258,2102,2656,4016
781,1523,2078,2742,3984
672,1453,2078,2602,3938
836,1453,2172,3023,3852
656,1633,2086,3055,3938
664,1461,2023,3008,3969
594,1398,2039,3031,4000
578,1359,2328,3070,3961
453,945,1359,2164,4063
773,2164,2539,2992,4039
773,2148,2555,3875,4328
563,2031,2586,2992,4234
383,1641,2055,2953,4266
