F1,F2,F3,F4,F5
984,1898,3063,4023,4492
875,2047,3000,4234,4938
898,2188,3000,4219,4813
922,2289,3164,4375,4813
219,883,2250,3188,4477
219,836,2148,3117,4461
258,789,2148,3008,4367
430,789,2203,3117,4188
555,2063,3125,4031,4852
578,1875,3070,4008,4883
516,680,1875,2375,3906
391,1906,2531,3727,4289
594,2063,2984,3883,4414
578,2078,2922,3883,4367
805,2047,2953,3805,4438
797,1984,3000,3805,4500
367,688,1961,2977,4531
516,1938,2594,3109,4281
563,1891,3211,3523,4266
711,1500,2602,3188,4250
805,1602,2992,3695,4320
594,1070,1820,2867,4625
688,1633,2977,4391,4648
641,1094,1695,2063,2859
648,1758,2063,4313,4844
711,1617,2203,3773,4500
563,1508,2938,3922,4836
563,1508,3008,3813,4695
1406,2656,3813,4289,4805
695,1336,1547,2680,3586
656,1320,2680,3656,4359
1219,2727,3672,4398,4727
1188,1508,2836,3445,4469
1172,2898,3313,4117,4789
1203,1578,2781,4195,4852
813,2734,3516,4008,4836
820,1195,2813,3484,4422
789,1227,2883,3328,3891
844,1227,2859,3547,3891
719,1172,1977,2891,3516
1133,1977,2867,3523,3766
680,1133,2797,3172,3953
1047,2211,3086,3430,4406
930,1633,3055,3578,4539
1102,1758,3148,3586,4508
531,1219,3125,3797,4609
508,1250,3086,3828,4703
508,1336,3039,3594,4438
719,1375,2914,3906,4555
375,719,1602,2914,4164
141,445,945,1633,4219
234,445,945,1219,4258
211,609,1438,4070,4656
203,789,1516,4281,4656
664,1531,2555,4250,4656
547,1523,2414,4219,4250
563,1617,2367,4219,4898
586,1539,3195,4172,4938
930,1672,3078,4281,4844
586,1586,2914,4250,4633
859,1555,2883,3797,4898
992,1563,2875,3922,4172
906,1523,2805,3344,4352
656,1664,2602,3336,4039
1656,2289,2750,3336,4125
1203,1984,2289,3188,4313
750,1438,2063,3203,4320
688,1516,2305,3117,4750
844,1563,3133,3695,4742
664,1648,2125,3547,4422
1055,1727,3156,3656,4305
977,1742,2883,3617,4430
938,1938,2930,3617,4398
1023,1633,2727,3656,4367
813,1164,2969,3641,4672
742,1258,2914,4320,4680
813,1508,2719,3258,4250
672,1516,2719,3313,4352
695,1680,3313,3930,4328
609,1586,2477,3406,4164
797,1617,2414,3336,4180
805,1602,2820,3336,4336
609,1680,2313,2984,4211
508,1719,2313,3117,4281
523,1648,2375,3352,4281
758,1711,2992,3891,4539
820,1711,2961,3391,4602
781,1836,3367,3813,4656
781,1813,2563,3820,4883
570,1852,2469,3555,4727
563,1852,2398,3102,4414
578,1844,2500,3102,4438
547,1688,2531,3148,4430
469,1703,2742,4305,4906
523,1609,2680,4039,4680
531,1555,2656,4039,4484
1516,2328,3797,4508,4828
445,1453,2469,3250,3984
1508,2375,3234,4297,4781
133,1664,2648,3906,4672
55,531,1609,3703,3953
55,1469,2008,3438,3898
375,1281,2023,3352,3891
1219,2219,3047,3961,4430
1242,1883,2836,3828,4289
313,1203,2703,3891,4836
234,984,2797,3648,4906
445,1586,2008,2914,3188
453,2016,2938,3156,4453
477,1625,1984,2938,4328
391,3094,3734,4531,4688
398,2633,3227,3734,4391
383,1492,2734,3734,4461
617,1250,2672,3789,4398
461,1023,1508,2727,4016
414,1023,1289,2672,3844
430,1555,2703,3820,4508
516,1266,2727,3797,4563
453,1258,3000,4016,4563
672,2813,3164,3938,4609
445,1563,2758,3953,4383
438,1227,2750,3242,4242
406,1445,2727,3242,4250
430,1352,2797,3141,3828
539,1320,2984,3938,4555
555,1469,2883,4234,4555
500,1500,2555,3125,4656
539,1492,2500,3109,4250
844,1367,2406,3242,4703
1367,2422,2883,3195,4625
922,1391,2359,3195,4227
867,2219,3477,4039,4219
188,773,2188,3328,4273
375,836,2297,3391,3836
828,1234,2508,4219,4789
883,1523,2188,3383,4172
898,1344,2328,3703,4602
852,2203,2992,3836,4391
1023,2188,3180,3898,4484
938,2148,2891,3961,4523
992,2273,3734,4031,4703
875,1914,2844,3141,4195
930,1586,2063,2938,3766
797,2039,3172,3719,4742
797,1344,3172,3938,4883
813,1477,2383,3305,4734
1422,2141,2984,3648,4227
211,977,2047,2945,3906
227,1273,2156,3438,4125
234,1422,2109,2688,4258
320,1242,2820,3664,4258
219,1242,2445,3750,4414
1422,2070,3133,3820,4500
1203,2336,3156,3641,4484
547,1227,2031,3242,3813
563,2063,3227,3805,4813
563,570,2023,3219,3797
570,2008,3258,4469,4938
484,1977,3344,4438,4656
461,1906,3242,3781,4641
461,1953,3172,3844,4523
484,1945,3070,3734,4383
367,1914,3352,3742,4438
602,2000,2766,3461,4336
750,2133,3016,4211,4625
758,2195,3094,3867,4320
797,2172,3180,3781,4250
781,2172,3203,3781,4477
750,2109,3102,4055,4430
867,2227,3188,4164,4430
875,2242,3039,3914,4391
930,2102,3156,3844,4297
961,1961,2852,4180,4625
1000,1984,3164,3844,4195
1023,1938,2922,3242,3914
1008,1914,2906,3234,3898
1102,1867,2945,3234,3945
1086,1867,2945,3898,4367
938,1672,2906,3875,4367
1016,1852,2891,3203,3883
1797,2984,3211,3742,4313
1781,2648,3148,3359,4547
1680,2648,3188,4453,4805
1648,2648,3117,4430,4766
281,1664,2992,3719,4547
1625,2617,2961,3711,4445
328,1695,2648,3664,4500
352,1633,2727,3664,4430
563,1680,2695,3203,3914
914,1641,2875,3211,3906
875,1633,3203,3852,4406
1031,1578,3055,3242,4328
1008,1531,3164,3461,4328
828,1570,2828,3359,4414
828,1609,2609,3320,4563
148,1539,2547,3297,4781
148,1586,2461,3242,4563
250,1547,2422,3094,4461
305,766,1484,2953,4563
0,539,1484,2789,4555
406,898,1563,2906,4609
422,898,1625,2891,4258
844,1781,2922,3688,4414
336,844,1797,3852,4234
273,336,1828,2813,4000
273,914,1898,2977,3828
633,1938,2836,3820,4375
477,1977,2977,3820,4352
625,1742,2672,4086,4523
328,1047,1641,2875,3914
398,1711,2906,3844,4883
398,883,1617,2977,4461
398,1625,2953,4109,4711
578,1609,2930,3750,4320
484,1617,2945,3984,4672
398,820,1609,2992,4031
430,1586,3000,3984,4273
586,1609,2961,3828,4227
445,852,1625,3086,3898
445,852,1625,3047,3930
461,758,1625,3008,3859
461,758,1883,2781,3969
594,1797,2773,3953,4445
594,1781,2906,4000,4547
484,1695,2930,3852,4438
688,1930,2953,3852,4141
719,1914,2930,3852,4141
711,1867,2859,4047,4422
578,1844,2844,3867,4445
539,938,1875,2828,4242
633,938,1875,2813,4211
500,1875,2875,3836,4094
516,1859,2969,3836,4469
